USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01115	00164997	St. Clair County	1635759714	56431801	631.57	21.788	33.719491	-86.311327                                                                                                               
AL	01117	00161584	Shelby County	2034279163	62288764	785.44	24.05	33.263043	-86.678089                                                                                                                   
AL	01119	00161585	Sumter County	2340898913	24634883	903.826	9.512	32.597481	-88.200057                                                                                                                  
AL	01121	00161586	Talladega County	1908346574	60874403	736.817	23.504	33.369314	-86.17593                                                                                                               
AL	01123	00161587	Tallapoosa County	1855798002	128790974	716.528	49.726	32.863308	-85.799618                                                                                                            
AL	01125	00161588	Tuscaloosa County	3420980817	78702670	1320.848	30.387	33.29022	-87.522783                                                                                                             
AL	01127	00161589	Walker County	2048757699	36683003	791.03	14.163	33.791558	-87.301094                                                                                                                  
AL	01129	00161590	Washington County	2797712949	21660030	1080.203	8.363	31.408503	-88.212404                                                                                                             
AL	01131	00161591	Wilcox County	2299540559	50592191	887.858	19.534	31.990082	-87.304935                                                                                                                 
AL	01133	00161592	Winston County	1587657470	48873867	612.998	18.87	34.154566	-87.365346                                                                                                                 
AK	02013	01419964	Aleutians East Borough	18091672533	20799851130	6985.234	8030.868	55.245044	-161.997477                                                                                                
AK	02016	01419965	Aleutians West Census Area	11377885025	25183635754	4393.026	9723.457	51.959447	+178.338813                                                                                            
AK	02020	01416061	Anchorage Municipality	4420814009	621079537	1706.886	239.8	61.17425	-149.284329                                                                                                       
AK	02050	01419966	Bethel Census Area	105223804364	12764675306	40627.14	4928.469	60.929141	-160.152625                                                                                                   
AK	02060	01419967	Bristol Bay Borough	1248315815	949775630	481.977	366.71	58.741661	-156.966805                                                                                                         
AK	02063	02804400	Chugach Census Area	24682168359	14538928722	9529.839	5613.512	60.488474	-146.203092                                                                                                   
AK	02066	02804401	Copper River Census Area	63952335592	1217429937	24692.136	470.052	62.034479	-143.922167                                                                                               
AK	02068	01419988	Denali Borough	32740165582	66105677	12641.049	25.524	63.682039	-150.027016                                                                                                            
AK	02070	01419968	Dillingham Census Area	47484825241	5943879883	18333.994	2294.945	59.543326	-158.267123                                                                                                
AK	02090	01419969	Fairbanks North Star Borough	18997100791	259310746	7334.822	100.12	64.676044	-146.548159                                                                                              
AK	02100	01419970	Haines Borough	6069358955	1041214321	2343.393	402.015	59.098404	-135.575791                                                                                                           
AK	02105	02371430	Hoonah-Angoon Census Area	16978039504	7804886156	6555.258	3013.484	58.403336	-135.884909                                                                                              
AK	02110	01419971	Juneau City and Borough	7003406836	1426230792	2704.031	550.671	58.37291	-134.178445                                                                                                   
AK	02122	01419972	Kenai Peninsula Borough	41484933190	22541174474	16017.423	8703.196	60.360766	-152.05264                                                                                               
AK	02130	01419973	Ketchikan Gateway Borough	12579389790	4651604394	4856.93	1795.995	55.449938	-131.106685                                                                                               
AK	02150	01419974	Kodiak Island Borough	17325452070	14147479530	6689.395	5462.373	57.7044	-153.918372                                                                                                   
AK	02158	01419985	Kusilvak Census Area	44229388640	6686187054	17077.063	2581.551	62.283588	-163.190171                                                                                                  
AK	02164	01419975	Lake and Peninsula Borough	61724164724	25989695209	23831.834	10034.678	58.108507	-156.413413                                                                                          
AK	02170	01419976	Matanuska-Susitna Borough	63990793404	1446586694	24706.985	558.53	62.265626	-149.503993                                                                                               
AK	02180	01419977	Nome Census Area	59490634310	13780758093	22969.463	5320.781	64.783686	-164.188912                                                                                                     
AK	02185	01419978	North Slope Borough	230052127560	15551055437	88823.627	6004.296	69.449343	-153.47283                                                                                                  
AK	02188	01419979	Northwest Arctic Borough	92367472817	12837268666	35663.282	4956.497	67.005066	-160.021086                                                                                             
AK	02195	02516404	Petersburg Borough	7512663865	2385848260	2900.656	921.181	57.112458	-133.008598                                                                                                       
AK	02198	01419980	Prince of Wales-Hyder Census Area	13643344240	14612163807	5267.725	5641.788	55.682773	-133.162389                                                                                     
AK	02220	01419981	Sitka City and Borough	7433415763	5037747535	2870.058	1945.085	57.193204	-135.367396                                                                                                  
AK	02230	02339479	Skagway Municipality	1123881121	28784118	433.933	11.114	59.560379	-135.338279                                                                                                         
AK	02240	01419983	Southeast Fairbanks Census Area	64312145207	749823085	24831.059	289.508	63.864997	-143.218628                                                                                         
AK	02275	02516402	Wrangell City and Borough	6619997018	2384375227	2555.995	920.612	56.180779	-132.026788                                                                                                
AK	02282	01419986	Yakutat City and Borough	19744203659	3986124692	7623.28	1539.051	60.017453	-140.416942                                                                                                
AK	02290	01419987	Yukon-Koyukuk Census Area	377038947604	5944745276	145575.558	2295.279	65.375727	-151.57785                                                                                            
AZ	04001	00025441	Apache County	29003491828	54145120	11198.311	20.906	35.385084	-109.490172                                                                                                             
AZ	04003	00025442	Cochise County	16083178109	17664572	6209.75	6.82	31.840129	-109.775163                                                                                                                
AZ	04005	00025443	Coconino County	48216135500	116631423	18616.355	45.032	35.829692	-111.773728                                                                                                          
AZ	04007	00040471	Gila County	12322070149	96465330	4757.578	37.245	33.789618	-110.81187                                                                                                                 
AZ	04009	00025444	Graham County	11970605955	47476264	4621.877	18.331	32.931828	-109.87831                                                                                                               
AZ	04011	00042807	Greenlee County	4771128169	13746346	1842.143	5.307	33.238872	-109.242323                                                                                                              
AZ	04012	00043540	La Paz County	11646086700	36514200	4496.579	14.098	33.72761	-114.038806                                                                                                               
AZ	04013	00037026	Maricopa County	23833061798	62173467	9201.997	24.005	33.345176	-112.49893                                                                                                             
AZ	04015	00025445	Mohave County	34530024782	333401646	13332.118	128.727	35.717705	-113.749689                                                                                                           
AZ	04017	00042808	Navajo County	25769070671	24116169	9949.494	9.311	35.390785	-110.321025                                                                                                               
AZ	04019	00025446	Pima County	23798578890	5112016	9188.683	1.974	32.128038	-111.783657                                                                                                                  
AZ	04021	00025447	Pinal County	13899612888	20747424	5366.671	8.011	32.918521	-111.366339                                                                                                                
AZ	04023	00040472	Santa Cruz County	3201853239	3068237	1236.242	1.185	31.525733	-110.845228                                                                                                             
AZ	04025	00042809	Yavapai County	21038299574	11356180	8122.933	4.385	34.631071	-112.577225                                                                                                              
AZ	04027	00023901	Yuma County	14280774791	13253159	5513.838	5.117	32.773942	-113.910905                                                                                                                 
AR	05001	00063755	Arkansas County	2569632263	120698185	992.141	46.602	34.28957	-91.376547                                                                                                               
AR	05003	00063756	Ashley County	2397012349	38656004	925.492	14.925	33.190835	-91.772267                                                                                                                 
AR	05005	00069895	Baxter County	1434660641	84907080	553.926	32.783	36.280268	-92.329949                                                                                                                 
AR	05007	00069896	Benton County	2195587038	94813175	847.721	36.608	36.337819	-94.256298                                                                                                                 
AR	05009	00069897	Boone County	1527375338	31797989	589.723	12.277	36.304299	-93.079236                                                                                                                  
AR	05011	00063757	Bradley County	1681335016	9505606	649.167	3.67	33.466549	-92.169156                                                                                                                   
AR	05013	00063758	Calhoun County	1628067881	9885352	628.601	3.817	33.56046	-92.513879                                                                                                                   
AR	05015	00066975	Carroll County	1631531435	22705630	629.938	8.767	36.33737	-93.540972                                                                                                                  
AR	05017	00069160	Chicot County	1649764677	140413175	636.978	54.214	33.267139	-91.297158                                                                                                                
AR	05019	00066845	Clark County	2242855171	43965580	865.971	16.975	34.053316	-93.176208                                                                                                                  
AR	05021	00063759	Clay County	1655581940	5497697	639.224	2.123	36.367302	-90.418704                                                                                                                     
AR	05023	00066983	Cleburne County	1434747664	98885396	553.959	38.18	35.566315	-92.05995                                                                                                                 
AR	05025	00063760	Cleveland County	1548589574	2561701	597.914	0.989	33.893201	-92.188714                                                                                                                
AR	05027	00063761	Columbia County	1984098878	1985830	766.065	0.767	33.223038	-93.232843                                                                                                                 
AR	05029	00066846	Conway County	1429458475	37757545	551.917	14.578	35.265702	-92.689248                                                                                                                 
AR	05031	00066847	Craighead County	1831537035	14324622	707.16	5.531	35.827729	-90.631421                                                                                                                
AR	05033	00069161	Crawford County	1541738667	27519858	595.269	10.625	35.583011	-94.236219                                                                                                               
AR	05035	00069162	Crittenden County	1587312625	81689126	612.865	31.54	35.197559	-90.30512                                                                                                               
AR	05037	00066848	Cross County	1596255187	15389371	616.318	5.942	35.285692	-90.763984                                                                                                                   
AR	05039	00066849	Dallas County	1728358299	1731378	667.323	0.668	33.967823	-92.653999                                                                                                                   
AR	05041	00066850	Desha County	1919735554	185180909	741.214	71.499	33.828752	-91.244103                                                                                                                 
AR	05043	00066851	Drew County	2146225294	18789749	828.662	7.255	33.587242	-91.722778                                                                                                                    
AR	05045	00066852	Faulkner County	1676360344	43618226	647.246	16.841	35.146548	-92.336928                                                                                                               
AR	05047	00066853	Franklin County	1577206796	28920052	608.963	11.166	35.508558	-93.887665                                                                                                               
AR	05049	00066854	Fulton County	1600705524	6367763	618.036	2.459	36.381322	-91.819285                                                                                                                   
AR	05051	00066855	Garland County	1754999327	147452177	677.609	56.932	34.578852	-93.146932                                                                                                               
AR	05053	00066856	Grant County	1636573602	2896901	631.885	1.118	34.285568	-92.422979                                                                                                                    
AR	05055	00066857	Greene County	1495304293	5273183	577.34	2.036	36.120607	-90.566346                                                                                                                    
AR	05057	00066858	Hempstead County	1883438547	35737908	727.2	13.798	33.735953	-93.664355                                                                                                                
AR	05059	00066859	Hot Spring County	1592697317	18725599	614.944	7.23	34.315177	-92.944147                                                                                                               
AR	05061	00066872	Howard County	1521168581	21361761	587.326	8.248	34.083064	-93.990931                                                                                                                  
AR	05063	00069163	Independence County	1978003740	20251226	763.712	7.819	35.737499	-91.559942                                                                                                            
AR	05065	00066860	Izard County	1502652313	9576574	580.177	3.698	36.094879	-91.913625                                                                                                                    
AR	05067	00066861	Jackson County	1641044497	20284490	633.611	7.832	35.596467	-91.223205                                                                                                                 
AR	05069	00066862	Jefferson County	2259419628	113071689	872.367	43.657	34.277239	-91.929673                                                                                                             
AR	05071	00066863	Johnson County	1711970414	59529091	660.996	22.984	35.573359	-93.466322                                                                                                                
AR	05073	00066864	Lafayette County	1371327392	43028603	529.472	16.613	33.240629	-93.611514                                                                                                              
AR	05075	00066865	Lawrence County	1521690357	12395693	587.528	4.786	36.041098	-91.101153                                                                                                                
AR	05077	00066866	Lee County	1553493435	57858191	599.807	22.339	34.779505	-90.779717                                                                                                                    
AR	05079	00066873	Lincoln County	1448998822	26693160	559.462	10.306	33.956385	-91.742355                                                                                                                
AR	05081	00066874	Little River County	1375943077	83115227	531.255	32.091	33.701941	-94.236287                                                                                                           
AR	05083	00082850	Logan County	1836602034	53970569	709.116	20.838	35.218654	-93.72091                                                                                                                   
AR	05085	00069164	Lonoke County	1998042333	82719024	771.448	31.938	34.755114	-91.894132                                                                                                                 
AR	05087	00069165	Madison County	2160639839	7455609	834.228	2.879	36.012545	-93.724053                                                                                                                  
AR	05089	00069898	Marion County	1545325346	112951240	596.653	43.611	36.266664	-92.678577                                                                                                                
AR	05091	00069166	Miller County	1616257229	36848741	624.04	14.227	33.305505	-93.901502                                                                                                                  
AR	05093	00069899	Mississippi County	2336409933	72224609	902.093	27.886	35.766944	-90.052207                                                                                                            
AR	05095	00069167	Monroe County	1573336901	35707672	607.469	13.787	34.679512	-91.20331                                                                                                                  
AR	05097	00069168	Montgomery County	2021363825	52979164	780.453	20.455	34.545656	-93.664153                                                                                                             
AR	05099	00069169	Nevada County	1600067809	7489490	617.79	2.892	33.666699	-93.305072                                                                                                                    
AR	05101	00069900	Newton County	2126566287	5935948	821.072	2.292	35.910742	-93.215898                                                                                                                   
AR	05103	00069170	Ouachita County	1897738454	18185713	732.721	7.022	33.591168	-92.878413                                                                                                                
AR	05105	00069171	Perry County	1428060523	24428402	551.377	9.432	34.946363	-92.926877                                                                                                                   
AR	05107	00069172	Phillips County	1788024160	95966884	690.36	37.053	34.423687	-90.855593                                                                                                                
AR	05109	00069173	Pike County	1554861342	35284868	600.335	13.624	34.158191	-93.658659                                                                                                                   
AR	05111	00069174	Poinsett County	1963975460	13892745	758.295	5.364	35.56887	-90.681104                                                                                                                 
AR	05113	00069175	Polk County	2219200782	12520929	856.838	4.834	34.490915	-94.230884                                                                                                                    
AR	05115	00069901	Pope County	2100810775	51385065	811.128	19.84	35.456557	-93.026818                                                                                                                    
AR	05117	00069176	Prairie County	1677069877	72638193	647.52	28.046	34.831116	-91.55362                                                                                                                  
AR	05119	00069177	Pulaski County	1964009183	126988884	758.308	49.031	34.770311	-92.312996                                                                                                               
AR	05121	00069178	Randolph County	1688445989	10370823	651.913	4.004	36.341298	-91.028441                                                                                                                
AR	05123	00083331	St. Francis County	1644082981	20017606	634.784	7.729	35.022838	-90.751506                                                                                                             
AR	05125	00067102	Saline County	1873940137	17955554	723.532	6.933	34.648525	-92.674463                                                                                                                  
AR	05127	00069179	Scott County	2312470680	14373451	892.85	5.55	34.858869	-94.063641                                                                                                                     
AR	05129	00069180	Searcy County	1724501452	6461828	665.834	2.495	35.896387	-92.695888                                                                                                                   
AR	05131	00069181	Sebastian County	1375754630	33853972	531.182	13.071	35.196981	-94.274989                                                                                                              
AR	05133	00069182	Sevier County	1459650889	45919661	563.574	17.73	33.994877	-94.243279                                                                                                                  
AR	05135	00069183	Sharp County	1565969853	5209695	604.624	2.011	36.173399	-91.471069                                                                                                                    
AR	05137	00069902	Stone County	1570673294	8145444	606.44	3.145	35.857001	-92.140482                                                                                                                     
AR	05139	00069903	Union County	2691171273	42102269	1039.067	16.256	33.168219	-92.598145                                                                                                                 
AR	05141	00069904	Van Buren County	1837758471	37208243	709.563	14.366	35.582953	-92.515976                                                                                                              
AR	05143	00069905	Washington County	2438398251	27945200	941.471	10.79	35.978001	-94.217269                                                                                                              
AR	05145	00069906	White County	2678251420	20554640	1034.079	7.936	35.255118	-91.753034                                                                                                                  
AR	05147	00069907	Woodruff County	1517642898	21058193	585.965	8.131	35.192777	-91.244535                                                                                                                
AR	05149	00069908	Yell County	2409234392	46381281	930.211	17.908	34.997713	-93.408303                                                                                                                   
CA	06001	01675839	Alameda County	1910017353	216902808	737.462	83.747	37.647139	-121.912488                                                                                                              
CA	06003	01675840	Alpine County	1912292607	12557304	738.34	4.848	38.621783	-119.798352                                                                                                                  
CA	06005	01675841	Amador County	1539965777	29438413	594.584	11.366	38.443549	-120.653858                                                                                                                
CA	06007	01675842	Butte County	4238488701	105260548	1636.49	40.641	39.665336	-121.603209                                                                                                                
CA	06009	01675885	Calaveras County	2641837359	43789489	1020.019	16.907	38.191068	-120.554107                                                                                                            
CA	06011	01675902	Colusa County	2980332727	14608884	1150.713	5.641	39.177739	-122.237563                                                                                                                
CA	06013	01675903	Contra Costa County	1856838508	225278783	716.929	86.981	37.919479	-121.951543                                                                                                         
CA	06015	01682074	Del Norte County	2606118035	578742633	1006.228	223.454	41.749903	-123.980998                                                                                                          
CA	06017	00277273	El Dorado County	4423312022	203340010	1707.85	78.51	38.785612	-120.534225                                                                                                             
CA	06019	00277274	Fresno County	15432139297	136609893	5958.383	52.745	36.761006	-119.655019                                                                                                             
CA	06021	00277275	Glenn County	3403160301	33693344	1313.968	13.009	39.602546	-122.4017                                                                                                                  
CA	06023	01681908	Humboldt County	9241565229	1253726036	3568.188	484.066	40.706655	-123.926176                                                                                                          
CA	06025	00277277	Imperial County	10814595262	790216761	4175.539	305.104	33.040814	-115.3554                                                                                                            
CA	06027	01804637	Inyo County	26410783053	77280938	10197.261	29.838	36.56216	-117.404209                                                                                                                
CA	06029	02054176	Kern County	21068632654	78405068	8134.645	30.272	35.346629	-118.729506                                                                                                                
CA	06031	00277280	Kings County	3602601923	3164290	1390.972	1.222	36.072478	-119.81553                                                                                                                   
CA	06033	00277281	Lake County	3254452700	188748214	1256.551	72.876	39.094802	-122.746757                                                                                                                
CA	06035	01693324	Lassen County	11762091407	462950203	4541.369	178.746	40.715287	-120.621223                                                                                                            
CA	06037	00277283	Los Angeles County	10513508620	1787475204	4059.289	690.148	34.196398	-118.261862                                                                                                      
CA	06039	00277284	Madera County	5534591552	42271836	2136.918	16.321	37.209821	-119.749802                                                                                                               
CA	06041	00277285	Marin County	1347889807	797077678	520.423	307.753	38.051367	-122.746396                                                                                                               
CA	06043	00277286	Mariposa County	3752476985	36220865	1448.84	13.985	37.574343	-119.911721                                                                                                              
CA	06045	00277287	Mendocino County	9082632466	961740401	3506.824	371.33	39.432388	-123.442881                                                                                                           
CA	06047	00277288	Merced County	5019407131	105277636	1938.004	40.648	37.194806	-120.722802                                                                                                              
CA	06049	00277289	Modoc County	10225877726	660503268	3948.234	255.022	41.592918	-120.71837                                                                                                              
CA	06051	00277290	Mono County	7896624729	214695677	3048.904	82.894	37.915836	-118.875167                                                                                                                
CA	06053	00277291	Monterey County	8499623032	1267793988	3281.723	489.498	36.240104	-121.315578                                                                                                          
CA	06055	00277292	Napa County	1938032964	104262608	748.279	40.256	38.5071	-122.325904                                                                                                                   
CA	06057	01682927	Nevada County	2480587301	41531993	957.76	16.036	39.297508	-120.771343                                                                                                                 
CA	06059	00277294	Orange County	2053476505	406279630	792.852	156.865	33.675687	-117.777207                                                                                                              
CA	06061	00277295	Placer County	3644336875	246435971	1407.086	95.149	39.062032	-120.722718                                                                                                              
CA	06063	00277296	Plumas County	6612400772	156387638	2553.062	60.382	39.992295	-120.824371                                                                                                              
CA	06065	00277297	Riverside County	18671924669	242973907	7209.271	93.813	33.729828	-116.002239                                                                                                          
CA	06067	00277298	Sacramento County	2500045887	75340560	965.273	29.089	38.450136	-121.344329                                                                                                            
CA	06069	00277299	San Benito County	3596591085	4719300	1388.652	1.822	36.611651	-121.085811                                                                                                             
CA	06071	00277300	San Bernardino County	51976125699	96413674	20068.095	37.226	34.856661	-116.181571                                                                                                     
